"","logFC","logCPM","LR","PValue","FDR"
"FGB",-1.22550222524077,6.17250105271881,82.5913337321451,1.00898480042719e-19,1.11609241770331e-17
"FGF19",-3.4342275686018,5.26015107248671,130.023100831656,4.05036324769417e-30,1.69096132747284e-27
"FGFBP2",1.05785074092317,5.81948245292671,88.7261418328461,4.53433287617171e-21,5.92760970539538e-19
"FGL1",-1.11385852151461,6.2751676537884,78.6152200289191,7.54657450529198e-19,7.81342137979911e-17
"FOXB1",-1.34826847862542,5.56238817862611,58.2062723422714,2.36025334295816e-14,1.44086786625304e-12
"FOXE1",-1.20895829400167,5.71076495844932,58.2871284776393,2.26521306229421e-14,1.40269796422065e-12
"FOXI3",-2.33266756134545,5.73269923590864,150.797907191468,1.16027034688098e-34,8.34234379407423e-32
"FUT9",-2.87021049102944,5.53044422757333,165.998692206321,5.53543480559018e-38,4.77597315026321e-35
"GABRA3",-2.17541435137461,5.47731564144562,113.418269751824,1.74737455924584e-26,4.43421991093327e-24
"GAD1",-1.14821832650672,6.10415969401705,79.4572050006448,4.92784423573795e-19,5.22755410646889e-17
"GAL",-1.65407728090009,5.70188949277655,91.7169847956922,1.00002864868454e-21,1.39165277110488e-19
"GCG",-1.1362175265259,4.684808343723,11.9507395199809,0.000546256946075436,0.00536392822162996
"GC",-1.79552932014342,4.82800658612532,30.3889858762219,3.53529783450577e-08,8.71501420460451e-07
"GJB6",-1.46438403094622,5.80930523480738,79.7678637120832,4.21086203222773e-19,4.50388234885052e-17
"GKN2",1.05944020205076,6.22249791523201,124.175111193613,7.71276896723915e-29,2.77274044372247e-26
"GRIA1",1.07737145125368,6.01601263151757,115.951568244406,4.87046754907684e-27,1.28639981673781e-24
"GRM4",-1.02890177391995,5.64326059410476,44.1734330642157,3.00532502820377e-11,1.30233604153227e-09
"HAVCR1",-1.62494963606418,5.830009020784,92.0902084590978,8.28141087478693e-22,1.1777804345219e-19
"HHIPL2",-1.22916814804218,6.02434735905416,74.1995361843369,7.06068869960539e-18,6.7688469000217e-16
"HMGA2",-1.21843728026027,6.00247537091568,84.7546136786534,3.37789969112129e-20,3.97425252749925e-18
"HOXB13",-2.55516262942785,5.52794893035756,141.639270322565,1.16615850346305e-32,6.28850972992447e-30
"HOXB9",-2.1375703191508,5.7318864322856,146.631990390556,9.44453597729866e-34,6.11155923090996e-31
"HOXC10",-1.97325136110683,5.76965313555524,124.028904364333,8.30253263276365e-29,2.90409127927641e-26
"HOXC11",-3.25112293427862,5.61120271521155,194.895995074776,2.71462939129907e-44,3.90363706468807e-41
"HOXC12",-3.01094373626051,5.19695171169448,120.685099015789,4.47868017514645e-28,1.31734270060785e-25
"HOXC13",-3.37872890367102,5.64289360048923,202.196444616416,6.92677805580371e-46,1.49410602663686e-42
"HOXC9",-1.05420388906097,5.78735370304081,47.7628197696097,4.81028485399595e-12,2.34040250302314e-10
"HTR3A",-1.7655594652538,6.06175727618175,137.306743969176,1.03325182370603e-31,4.95272040829755e-29
"IGF2BP1",-1.70878050965851,5.77126016016639,104.235195383833,1.79670507458108e-24,3.57737801157358e-22
"IGFL2",-1.54375970452742,5.88094753779841,101.903212343639,5.83018998383446e-24,1.04797664959424e-21
"INA",-1.23544535982165,5.68180956147717,59.4679879113603,1.24299719904813e-14,8.12468169196008e-13
"INSL4",-2.38912049148702,5.33073384513567,84.3727745940205,4.09751577724335e-20,4.73482582045388e-18
"ITLN1",1.09879564338877,5.84230915673944,99.5039075572171,1.95776692281766e-23,3.2483871173213e-21
"ITLN2",1.72407247500704,5.82740444619942,264.05370440631,2.24352608090789e-59,2.90357145391099e-55
"KCNQ2",-1.40247080642211,5.46620703023336,54.5515926650759,1.51419882858674e-13,8.74855412480785e-12
